block_id,access_frequency,k_value,redundancy,fragments_count
0,1.0,87,0.13,100
1,2.0,87,0.13,100
2,3.0,87,0.13,100
3,4.0,87,0.13,100
4,5.0,87,0.13,100
5,6.0,87,0.13,100
6,7.0,87,0.13,100
7,8.0,87,0.13,100
8,9.0,87,0.13,100
9,10.0,87,0.13,100
10,11.0,86,0.14,100
11,12.0,86,0.14,100
12,13.0,86,0.14,100
13,14.0,86,0.14,100
14,15.0,86,0.14,100
15,16.0,86,0.14,100
16,17.0,86,0.14,100
17,18.0,86,0.14,100
18,19.0,86,0.14,100
19,20.0,86,0.14,100
20,21.0,86,0.14,100
21,22.0,86,0.14,100
22,23.0,86,0.14,100
23,24.0,86,0.14,100
24,25.0,86,0.14,100
25,26.0,86,0.14,100
26,27.0,86,0.14,100
27,28.0,86,0.14,100
28,29.0,86,0.14,100
29,30.0,86,0.14,100
30,31.0,85,0.15,100
31,32.0,85,0.15,100
32,33.0,85,0.15,100
33,34.0,85,0.15,100
34,35.0,85,0.15,100
35,36.0,85,0.15,100
36,37.0,85,0.15,100
37,38.0,85,0.15,100
38,39.0,85,0.15,100
39,40.0,85,0.15,100
40,41.0,85,0.15,100
41,42.0,85,0.15,100
42,43.0,85,0.15,100
43,44.0,85,0.15,100
44,45.0,85,0.15,100
45,46.0,85,0.15,100
46,47.0,85,0.15,100
47,48.0,85,0.15,100
48,49.0,85,0.15,100
49,50.0,85,0.15,100
50,51.0,84,0.16,100
51,52.0,84,0.16,100
52,53.0,84,0.16,100
53,54.0,84,0.16,100
54,55.0,84,0.16,100
55,56.0,84,0.16,100
56,57.0,84,0.16,100
57,58.0,84,0.16,100
58,59.0,84,0.16,100
59,60.0,84,0.16,100
60,61.0,84,0.16,100
61,62.0,84,0.16,100
62,63.0,84,0.16,100
63,64.0,84,0.16,100
64,65.0,84,0.16,100
65,66.0,84,0.16,100
66,67.0,84,0.16,100
67,68.0,84,0.16,100
68,69.0,84,0.16,100
69,70.0,84,0.16,100
70,71.0,83,0.17,100
71,72.0,83,0.17,100
72,73.0,83,0.17,100
73,74.0,83,0.17,100
74,75.0,83,0.17,100
75,76.0,83,0.17,100
76,77.0,83,0.17,100
77,78.0,83,0.17,100
78,79.0,83,0.17,100
79,80.0,83,0.17,100
80,81.0,83,0.17,100
81,82.0,83,0.17,100
82,83.0,83,0.17,100
83,84.0,83,0.17,100
84,85.0,83,0.17,100
85,86.0,83,0.17,100
86,87.0,83,0.17,100
87,88.0,83,0.17,100
88,89.0,83,0.17,100
89,90.0,83,0.17,100
90,91.0,82,0.18,100
91,92.0,82,0.18,100
92,93.0,82,0.18,100
93,94.0,82,0.18,100
94,95.0,82,0.18,100
95,96.0,82,0.18,100
96,97.0,82,0.18,100
97,98.0,82,0.18,100
98,99.0,82,0.18,100
99,100.0,82,0.18,100
