区块ID,访问频率_次每秒,K值
0,10.0,20
1,12.0,20
2,6.0,20
3,9.0,20
4,8.0,20
5,22.0,20
6,7.0,20
7,7.0,20
8,1.0,20
9,10.0,20
10,5.0,20
11,24.0,20
12,27.0,20
13,25.0,20
14,7.0,20
15,50.0,20
16,3.0,20
17,27.0,20
18,7.0,20
19,5.0,20
20,13.0,20
21,8.0,20
22,5.0,20
23,61.0,20
24,10.0,20
25,2.0,20
26,5.0,20
27,4.0,20
28,16.0,20
29,10.0,20
30,21.0,20
31,20.0,20
32,4.0,20
33,14.0,20
34,56.0,20
35,10.0,20
36,46.0,20
37,7.0,20
38,5.0,20
39,7.0,20
40,19.0,20
41,5.0,20
42,14.0,20
43,34.0,20
44,19.0,20
45,60.0,20
46,16.0,20
47,93.0,20
48,10.0,20
49,9.0,20
50,15.0,20
51,2.0,20
52,2.0,20
53,7.0,20
54,271.0,19
55,7.0,20
56,4.0,20
57,28.0,20
58,12.0,20
59,9.0,20
60,10.0,20
61,30.0,20
62,14.0,20
63,37.0,20
64,2.0,20
65,6.0,20
66,4.0,20
67,6.0,20
68,18.0,20
69,62.0,20
70,7.0,20
71,14.0,20
72,67.0,20
73,3.0,20
74,2.0,20
75,11.0,20
76,5.0,20
77,12.0,20
78,16.0,20
79,7.0,20
80,5.0,20
81,2.0,20
82,11.0,20
83,19.0,20
84,7.0,20
85,43.0,20
86,7.0,20
87,33.0,20
88,17.0,20
89,4.0,20
90,24.0,20
91,15.0,20
92,15.0,20
93,2.0,20
94,43.0,20
95,20.0,20
96,10.0,20
97,2.0,20
98,3.0,20
99,37.0,20
100,33.0,20
101,37.0,20
102,18.0,20
103,1.0,20
104,13.0,20
105,2.0,20
106,1.0,20
107,4.0,20
108,34.0,20
109,25.0,20
110,83.0,20
111,3.0,20
112,21.0,20
113,122.0,20
114,35.0,20
115,6.0,20
116,1.0,20
117,6.0,20
118,20.0,20
119,4.0,20
120,7.0,20
121,61.0,20
122,31.0,20
123,8.0,20
124,85.0,20
125,17.0,20
126,9.0,20
127,28.0,20
128,8.0,20
129,39.0,20
130,17.0,20
131,44.0,20
132,8.0,20
133,5.0,20
134,2.0,20
135,113.0,20
136,32.0,20
137,17.0,20
138,6.0,20
139,2.0,20
140,11.0,20
141,50.0,20
142,18.0,20
143,66.0,20
144,2.0,20
145,12.0,20
146,5.0,20
147,29.0,20
148,27.0,20
149,9.0,20
150,7.0,20
151,7.0,20
152,6.0,20
153,4.0,20
154,2.0,20
155,6.0,20
156,53.0,20
157,9.0,20
158,18.0,20
159,7.0,20
160,2.0,20
161,3.0,20
162,7.0,20
163,75.0,20
164,4.0,20
165,13.0,20
166,2.0,20
167,15.0,20
168,28.0,20
169,7.0,20
170,26.0,20
171,9.0,20
172,12.0,20
173,69.0,20
174,8.0,20
175,23.0,20
176,15.0,20
177,131.0,20
178,6.0,20
179,4.0,20
180,7.0,20
181,1.0,20
182,24.0,20
183,11.0,20
184,32.0,20
185,2.0,20
186,13.0,20
187,5.0,20
188,3.0,20
189,12.0,20
190,7.0,20
191,15.0,20
192,98.0,20
193,5.0,20
194,5.0,20
195,30.0,20
196,1.0,20
197,5.0,20
198,97.0,20
199,12.0,20
200,2.0,20
201,9.0,20
202,15.0,20
203,3.0,20
204,6.0,20
205,7.0,20
206,19.0,20
207,27.0,20
208,22.0,20
209,3.0,20
210,72.0,20
211,10.0,20
212,49.0,20
213,8.0,20
214,40.0,20
215,12.0,20
216,12.0,20
217,3.0,20
218,4.0,20
219,7.0,20
220,11.0,20
221,2.0,20
222,3.0,20
223,1.0,20
224,4.0,20
225,40.0,20
226,8.0,20
227,7.0,20
228,9.0,20
229,4.0,20
230,11.0,20
231,18.0,20
232,64.0,20
233,4.0,20
234,2.0,20
235,9.0,20
236,21.0,20
237,50.0,20
238,8.0,20
239,8.0,20
240,5.0,20
241,2.0,20
242,118.0,20
243,12.0,20
244,4.0,20
245,17.0,20
246,8.0,20
247,16.0,20
248,30.0,20
249,62.0,20
250,27.0,20
251,3.0,20
252,2.0,20
253,11.0,20
254,6.0,20
255,9.0,20
256,4.0,20
257,12.0,20
258,4.0,20
259,58.0,20
260,4.0,20
261,9.0,20
262,2.0,20
263,3.0,20
264,6.0,20
265,218.0,19
266,96.0,20
267,7.0,20
268,31.0,20
269,7.0,20
270,3.0,20
271,2.0,20
272,3.0,20
273,10.0,20
274,23.0,20
275,11.0,20
276,21.0,20
277,6.0,20
278,19.0,20
279,3.0,20
280,16.0,20
281,4.0,20
282,5.0,20
283,47.0,20
284,6.0,20
285,152.0,19
286,42.0,20
287,18.0,20
288,2.0,20
289,2.0,20
290,4.0,20
291,6.0,20
292,7.0,20
293,1.0,20
294,38.0,20
295,4.0,20
296,27.0,20
297,205.0,19
298,3.0,20
299,71.0,20
300,33.0,20
301,17.0,20
302,8.0,20
303,12.0,20
304,31.0,20
305,2.0,20
306,1.0,20
307,22.0,20
308,20.0,20
309,2.0,20
310,6.0,20
311,13.0,20
312,3.0,20
313,8.0,20
314,14.0,20
315,15.0,20
316,304.0,18
317,16.0,20
318,4.0,20
319,13.0,20
320,3.0,20
321,48.0,20
322,7.0,20
323,2.0,20
324,9.0,20
325,11.0,20
326,5.0,20
327,8.0,20
328,91.0,20
329,42.0,20
330,11.0,20
331,17.0,20
332,3.0,20
333,20.0,20
334,3.0,20
335,2.0,20
336,41.0,20
