访问频率_次每秒,对应的K值,区块数量
1.0,20,344
2.0,20,628
3.0,20,559
4.0,20,498
5.0,20,446
6.0,20,400
7.0,20,362
8.0,20,326
9.0,20,296
10.0,20,269
11.0,20,245
12.0,20,224
13.0,20,206
14.0,20,188
15.0,20,173
16.0,20,159
17.0,20,148
18.0,20,136
19.0,20,126
20.0,20,117
21.0,20,108
22.0,20,102
23.0,20,94
24.0,20,88
25.0,20,82
26.0,20,77
27.0,20,72
28.0,20,68
29.0,20,63
30.0,20,60
31.0,20,56
32.0,20,53
33.0,20,50
34.0,20,47
35.0,20,45
36.0,20,42
37.0,20,40
38.0,20,37
39.0,20,36
40.0,20,34
41.0,20,32
42.0,20,31
43.0,20,29
44.0,20,28
45.0,20,26
46.0,20,26
47.0,20,24
48.0,20,22
49.0,20,22
50.0,20,21
51.0,20,20
52.0,20,19
53.0,20,19
54.0,20,17
55.0,20,17
56.0,20,16
57.0,20,15
58.0,20,15
59.0,20,14
60.0,20,14
61.0,20,13
62.0,20,13
63.0,20,12
64.0,20,12
65.0,20,11
66.0,20,11
67.0,20,10
68.0,20,10
69.0,20,10
70.0,20,9
71.0,20,9
72.0,20,9
73.0,20,8
74.0,20,8
75.0,20,8
76.0,20,8
77.0,20,7
78.0,20,7
79.0,20,7
80.0,20,7
81.0,20,6
82.0,20,6
83.0,20,6
84.0,20,6
85.0,20,6
86.0,20,5
87.0,20,6
88.0,20,5
89.0,20,5
90.0,20,5
91.0,20,4
92.0,20,5
93.0,20,4
94.0,20,5
95.0,20,4
96.0,20,4
97.0,20,4
98.0,20,4
99.0,20,3
100.0,20,4
101.0,20,4
102.0,20,3
103.0,20,3
104.0,20,4
105.0,20,3
106.0,20,3
107.0,20,3
108.0,20,3
109.0,20,3
110.0,20,3
111.0,20,2
112.0,20,3
113.0,20,3
114.0,20,2
115.0,20,3
116.0,20,2
117.0,20,2
118.0,20,3
119.0,20,2
120.0,20,2
121.0,20,2
122.0,20,2
123.0,20,2
124.0,20,2
125.0,20,2
126.0,20,2
127.0,20,2
128.0,20,2
129.0,20,1
130.0,20,2
131.0,20,2
132.0,20,2
133.0,20,1
134.0,20,2
135.0,20,1
136.0,20,2
137.0,20,1
138.0,20,2
139.0,20,1
140.0,20,2
141.0,20,1
142.0,20,1
143.0,20,2
144.0,19,1
145.0,19,1
146.0,19,1
147.0,19,2
148.0,19,1
149.0,19,1
150.0,19,1
151.0,19,1
152.0,19,1
153.0,19,1
154.0,19,2
155.0,19,1
156.0,19,1
157.0,19,1
158.0,19,1
159.0,19,1
161.0,19,1
162.0,19,1
163.0,19,1
164.0,19,1
165.0,19,1
166.0,19,1
167.0,19,1
169.0,19,1
170.0,19,1
171.0,19,1
172.0,19,1
174.0,19,1
175.0,19,1
177.0,19,1
178.0,19,1
180.0,19,1
181.0,19,1
183.0,19,1
184.0,19,1
186.0,19,1
188.0,19,1
189.0,19,1
191.0,19,1
193.0,19,1
195.0,19,1
197.0,19,1
199.0,19,1
201.0,19,1
203.0,19,1
205.0,19,1
208.0,19,1
210.0,19,1
213.0,19,1
215.0,19,1
218.0,19,1
221.0,19,1
223.0,19,1
226.0,19,1
230.0,19,1
233.0,19,1
236.0,19,1
240.0,19,1
244.0,19,1
248.0,19,1
252.0,19,1
256.0,19,1
261.0,19,1
266.0,19,1
271.0,19,1
277.0,18,1
283.0,18,1
289.0,18,1
296.0,18,1
304.0,18,1
312.0,18,1
321.0,18,1
330.0,18,1
341.0,18,1
353.0,17,1
366.0,17,1
382.0,17,1
399.0,16,1
420.0,16,1
444.0,15,1
474.0,14,1
512.0,13,1
563.0,12,1
635.0,10,1
751.0,8,1
1000.0,7,1
