episode,rewards,hit_rates,delays,energies
0,-67.4112599309534,0.1,5.006125993095339,223.49999999999997
1,-108.67651987776149,0.16,9.344651987776158,232.29999999999998
2,-104.72568006023754,0.16,8.749568006023766,252.29999999999998
3,-104.08243996709571,0.12,8.372243996709585,263.6
4,-113.61831993430849,0.14,9.569831993430853,249.19999999999996
5,-69.01045983567835,0.12,4.855045983567833,264.6
6,-92.76744014594698,0.16,7.688744014594703,238.79999999999995
7,-59.3630199908465,0.06,3.523301999084652,271.29999999999995
8,-103.92452010653902,0.16,8.669452010653915,252.29999999999998
9,-67.99875996962187,0.06,4.52687599696219,257.29999999999995
10,-72.29887994091956,0.06,4.721887994091958,280.8
11,-63.192140001393895,0.08,4.0252140001393855,269.4
12,-81.46187996953728,0.08,6.217187996953727,232.89999999999998
13,-61.96171994656326,0.1,4.4311719946563235,226.49999999999997
14,-88.14906001504502,0.12,6.933906001504511,248.1
15,-120.8322999007255,0.16,10.710229990072547,217.29999999999998
16,-59.1383399623633,0.06,3.3908339962363248,282.29999999999995
17,-87.49301995374256,0.1,6.864301995374263,238.5
18,-128.42897999245668,0.18,11.323897999245673,241.89999999999995
19,-101.25802010264233,0.12,8.139802010264248,258.6
20,-59.69099983621388,0.06,3.6710999836213887,259.79999999999995
21,-47.27007991939784,0.04,2.2800079919397835,264.7
22,-105.42405987255268,0.12,8.82140598725527,232.1
23,-62.182140020579155,0.06,3.71021400205791,280.79999999999995
24,-106.84633983660483,0.14,9.297633983660491,208.7
25,-82.02154006972899,0.08,6.078154006972909,252.39999999999998
26,-71.58286006018517,0.08,4.7992860060185185,275.9
27,-44.598120052367484,0.1,2.2848120052367453,267.5
28,-82.08998002056033,0.1,6.023998002056032,268.5
29,-124.94039992909866,0.18,10.935039992909878,245.89999999999998
30,-118.43265988651662,0.16,10.515265988651663,212.79999999999998
31,-151.9912200075387,0.24,14.212122000753881,218.7
32,-78.75750011041765,0.12,6.3997500110417604,207.59999999999997
33,-103.14381995785975,0.14,8.502381995785981,251.2
34,-148.46014004264015,0.24,13.764014004264029,228.19999999999996
35,-58.673299965187866,0.06,3.4893299965187903,267.79999999999995
36,-109.10602008417248,0.18,9.566602008417247,224.39999999999998
37,-60.6220800170675,0.1,4.157208001706748,240.49999999999997
38,-53.391840003542626,0.06,3.20118400035426,243.79999999999998
39,-58.261099954769044,0.04,3.2941099954769015,273.2
40,-56.56689991585912,0.04,3.4996899915859103,235.7
41,-128.80621989060182,0.14,11.018621989060195,256.19999999999993
42,-121.07550004765379,0.14,10.245550004765393,256.2
43,-107.10220002718266,0.2,9.495220002718273,221.49999999999997
44,-54.80187990915032,0.04,3.3081879909150302,237.2
45,-75.79690002296122,0.1,5.62469000229612,245.49999999999997
46,-88.26637999549502,0.12,6.800637999549508,262.59999999999997
47,-69.57639989886434,0.08,5.383639989886433,197.4
48,-108.7962201042472,0.12,8.833622010424731,264.6
49,-103.60979995455598,0.14,9.208979995455593,185.2
50,-99.68290006335829,0.12,8.457290006335828,211.09999999999997
51,-73.10165993031116,0.1,5.660165993031114,215.0
52,-44.18250008419155,0.04,2.196250008419156,242.2
53,-103.6508799976482,0.14,8.87808799976483,218.7
54,-70.78022000223397,0.06,4.560022000223399,281.8
55,-91.15553995322438,0.14,7.423553995322437,239.2
56,-99.54698000300677,0.16,8.816698000300674,193.79999999999995
57,-97.74431999113403,0.16,8.466431999113409,210.79999999999998
58,-73.60509995240717,0.1,5.345509995240718,251.49999999999997
59,-86.48811998810609,0.08,6.634811998810619,241.4
60,-98.8319799999519,0.14,8.326197999995204,225.7
61,-60.571540007293265,0.06,3.9491540007293224,240.79999999999998
62,-81.06302000652991,0.08,6.007302000652999,249.9
63,-56.02574003111575,0.08,3.748574003111571,225.4
64,-67.27169994637373,0.1,4.62716999463737,260.0
65,-117.33287988889948,0.14,9.916287988889964,251.7
66,-116.28613994117823,0.18,10.464613994117821,206.4
67,-89.9600799944624,0.12,7.340007999446242,225.59999999999997
68,-111.32306000933049,0.14,9.75030600093305,208.2
