Drone_Count,FullNode,LightNode,Sharding,StaticEncoding,DynamicEncoding
10,10,4.06,10,7.142857142857142,2.5025494722748802
20,20,8.12,10,7.142857142857142,2.5025494722748802
30,30,12.18,10,7.142857142857142,2.5025494722748802
40,40,16.24,10,7.142857142857142,2.5025494722748802
50,50,20.3,10,7.142857142857142,2.5025494722748802
60,60,24.36,10,7.142857142857142,2.5025494722748802
70,70,28.42,10,7.142857142857144,2.5025494722748802
80,80,32.48,10,7.142857142857142,2.5025494722748802
90,90,36.54,10,7.142857142857142,2.5025494722748802
100,100,40.6,10,7.142857142857142,2.5025494722748802
