Drone_Count,FullNode,LightNode,Sharding,StaticEncoding,DynamicEncoding
10,10000.0,10000.0,10000.0,14000.000000000002,39959.25
20,10000.0,10000.0,20000.0,28000.000000000004,79918.5
30,10000.0,10000.0,30000.0,42000.0,119877.74999999999
40,10000.0,10000.0,40000.0,56000.00000000001,159837.0
50,10000.0,10000.0,50000.0,70000.0,199796.25
60,10000.0,10000.0,60000.0,84000.0,239755.49999999997
70,10000.0,10000.0,70000.0,97999.99999999999,279714.75
80,10000.0,10000.0,80000.0,112000.00000000001,319674.0
90,10000.0,10000.0,90000.0,126000.0,359633.25
100,10000.0,10000.0,100000.0,140000.0,399592.5
